epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
109,225.79,1.0037,1.69511,0.91618,0.9701,0,0.24517,0.34222,0.28928,0.14448,0.2434,0.34222,0.27849,0.1328,1.70058,2.90759,1.76488,1.42632,0,0.00112342,0.00112342,0.00112342
110,227.599,0.99424,1.6032,1.03269,0.97363,0,0.33755,0.47889,0.28796,0.14481,0.33077,0.47021,0.27325,0.13401,1.74913,2.89498,1.80278,1.45432,0,0.00112059,0.00112059,0.00112059
111,229.381,0.97261,1.63191,0.93305,0.96514,0,0.33755,0.47889,0.28796,0.14481,0.33077,0.47021,0.27325,0.13401,1.74913,2.89498,1.80278,1.45432,0,0.00111776,0.00111776,0.00111776
112,231.209,0.96022,1.61866,0.89339,0.97637,0,0.38864,0.47755,0.28841,0.14838,0.39895,0.48421,0.29206,0.1423,1.73954,2.93441,1.89324,1.44087,0,0.00111493,0.00111493,0.00111493
113,232.997,0.97676,1.67696,1.01806,0.97448,0,0.38864,0.47755,0.28841,0.14838,0.39895,0.48421,0.29206,0.1423,1.73954,2.93441,1.89324,1.44087,0,0.0011121,0.0011121,0.0011121
114,234.821,0.97125,1.70336,0.87894,0.97559,0,0.46635,0.49433,0.34809,0.14854,0.42185,0.47444,0.29192,0.13699,1.74397,2.90493,2.07679,1.46321,0,0.00110928,0.00110928,0.00110928
115,236.729,0.97307,1.64677,0.9056,0.96827,0,0.46635,0.49433,0.34809,0.14854,0.42185,0.47444,0.29192,0.13699,1.74397,2.90493,2.07679,1.46321,0,0.00110645,0.00110645,0.00110645
116,238.661,0.92132,1.69937,0.97002,0.98978,0,0.44477,0.45188,0.35125,0.14817,0.40248,0.48171,0.28317,0.13338,1.76213,2.86428,2.09819,1.49514,0,0.00110362,0.00110362,0.00110362
117,240.629,0.96198,1.70455,0.99484,1.00704,0,0.44477,0.45188,0.35125,0.14817,0.40248,0.48171,0.28317,0.13338,1.76213,2.86428,2.09819,1.49514,0,0.00110079,0.00110079,0.00110079
118,242.562,0.91944,1.57145,0.92442,0.9836,0,0.36175,0.45111,0.2426,0.12818,0.38162,0.4652,0.2471,0.11543,1.77275,2.94463,2.64422,1.51536,0,0.00109796,0.00109796,0.00109796
119,244.396,0.91609,1.63471,0.90152,0.97473,0,0.36175,0.45111,0.2426,0.12818,0.38162,0.4652,0.2471,0.11543,1.77275,2.94463,2.64422,1.51536,0,0.00109513,0.00109513,0.00109513
120,246.347,0.95348,1.57507,0.88996,0.96639,0,0.36601,0.47667,0.28463,0.12245,0.34722,0.41444,0.21851,0.10553,1.72836,3.1346,2.98701,1.46821,0,0.0010923,0.0010923,0.0010923
121,248.311,0.91093,1.59619,0.91608,0.9509,0,0.36601,0.47667,0.28463,0.12245,0.34722,0.41444,0.21851,0.10553,1.72836,3.1346,2.98701,1.46821,0,0.00108947,0.00108947,0.00108947
