epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,203.629,2.69403,3.63218,2.72698,2.58888,0,0.13408,0.32889,0.06705,0.01896,0.12308,0.32222,0.06905,0.02073,2.90972,4.20309,2.85011,2.89269,0,0.0011885,0.0011885,0.0011885
87,205.928,2.55061,3.4106,2.70962,2.49555,0,0.13408,0.32889,0.06705,0.01896,0.12308,0.32222,0.06905,0.02073,2.90972,4.20309,2.85011,2.89269,0,0.00118567,0.00118567,0.00118567
88,208.264,2.54784,3.5469,2.67485,2.50218,0,0.14703,0.32556,0.07353,0.02071,0.11896,0.33889,0.06967,0.02064,2.8864,4.30584,2.82419,2.87031,0,0.00118284,0.00118284,0.00118284
89,210.562,2.61214,3.3989,2.71117,2.55286,0,0.14703,0.32556,0.07353,0.02071,0.11896,0.33889,0.06967,0.02064,2.8864,4.30584,2.82419,2.87031,0,0.00118001,0.00118001,0.00118001
90,212.889,2.59308,3.4885,2.64467,2.56674,0,0.10764,0.27667,0.07527,0.0218,0.1014,0.27,0.0676,0.0223,2.89846,4.2861,2.85049,2.8934,0,0.00117718,0.00117718,0.00117718
91,215.208,2.64244,3.42123,2.62703,2.49843,0,0.10764,0.27667,0.07527,0.0218,0.1014,0.27,0.0676,0.0223,2.89846,4.2861,2.85049,2.8934,0,0.00117435,0.00117435,0.00117435
92,217.527,2.54314,3.41833,2.55809,2.48619,0,0.14705,0.29409,0.06954,0.02213,0.12237,0.25667,0.06383,0.02345,2.87141,4.06381,2.85183,2.83482,0,0.00117152,0.00117152,0.00117152
93,219.847,2.66949,3.48764,2.48518,2.42527,0,0.14705,0.29409,0.06954,0.02213,0.12237,0.25667,0.06383,0.02345,2.87141,4.06381,2.85183,2.83482,0,0.00116869,0.00116869,0.00116869
94,222.12,2.48618,3.38622,2.56765,2.43335,0,0.15094,0.28889,0.07898,0.02776,0.14378,0.28556,0.07116,0.02664,2.77567,3.87423,2.84601,2.74252,0,0.00116586,0.00116586,0.00116586
95,224.412,2.58297,3.43944,2.57971,2.50086,0,0.15094,0.28889,0.07898,0.02776,0.14378,0.28556,0.07116,0.02664,2.77567,3.87423,2.84601,2.74252,0,0.00116303,0.00116303,0.00116303
96,226.73,2.52857,3.41773,2.59711,2.4763,0,0.11989,0.35415,0.07797,0.02743,0.11736,0.29859,0.06578,0.02183,2.69889,3.92959,2.81716,2.69167,0,0.00116021,0.00116021,0.00116021
97,229.062,2.46999,3.24947,2.40961,2.38924,0,0.11989,0.35415,0.07797,0.02743,0.11736,0.29859,0.06578,0.02183,2.69889,3.92959,2.81716,2.69167,0,0.00115738,0.00115738,0.00115738
98,231.39,2.57886,3.4465,2.42393,2.41171,0,0.09131,0.41667,0.05636,0.01854,0.07157,0.45667,0.05029,0.01507,2.68323,4.03033,2.88248,2.73853,0,0.00115455,0.00115455,0.00115455
99,233.752,2.43826,3.24424,2.50523,2.45449,0,0.09131,0.41667,0.05636,0.01854,0.07157,0.45667,0.05029,0.01507,2.68323,4.03033,2.88248,2.73853,0,0.00115172,0.00115172,0.00115172
100,236.193,2.47228,3.37607,2.4839,2.38459,0,0.07039,0.28,0.04946,0.01539,0.06584,0.33554,0.04985,0.0141,2.70757,3.98271,2.91692,2.7715,0,0.00114889,0.00114889,0.00114889
101,238.523,2.36562,3.27698,2.36194,2.35797,0,0.07039,0.28,0.04946,0.01539,0.06584,0.33554,0.04985,0.0141,2.70757,3.98271,2.91692,2.7715,0,0.00114606,0.00114606,0.00114606
102,240.973,2.43729,3.43232,2.48822,2.35546,0,0.07062,0.42444,0.06069,0.01959,0.08017,0.30333,0.06665,0.0208,2.70603,3.80701,2.89834,2.76018,0,0.00114323,0.00114323,0.00114323
103,243.58,2.50694,3.33214,2.52643,2.43294,0,0.07062,0.42444,0.06069,0.01959,0.08017,0.30333,0.06665,0.0208,2.70603,3.80701,2.89834,2.76018,0,0.0011404,0.0011404,0.0011404
104,246.919,2.44521,3.54491,2.37124,2.35204,0,0.05291,0.45111,0.0709,0.02096,0.14768,0.19778,0.08022,0.02922,2.69403,3.63009,2.86363,2.73905,0,0.00113757,0.00113757,0.00113757
105,250.416,2.57994,3.55661,2.46777,2.42557,0,0.05291,0.45111,0.0709,0.02096,0.14768,0.19778,0.08022,0.02922,2.69403,3.63009,2.86363,2.73905,0,0.00113474,0.00113474,0.00113474
106,253.951,2.4966,3.54749,2.4263,2.38997,0,0.15814,0.13111,0.05589,0.01686,0.18364,0.18444,0.07381,0.02434,2.7123,3.60754,2.88981,2.77182,0,0.00113191,0.00113191,0.00113191
107,257.642,2.44699,3.33521,2.454,2.39336,0,0.15814,0.13111,0.05589,0.01686,0.18364,0.18444,0.07381,0.02434,2.7123,3.60754,2.88981,2.77182,0,0.00112908,0.00112908,0.00112908
108,261.243,2.49073,3.36004,2.34539,2.34096,0,0.17521,0.15111,0.05426,0.01434,0.16679,0.19778,0.07659,0.02256,2.70119,3.62621,2.91848,2.76408,0,0.00112625,0.00112625,0.00112625
109,264.79,2.36409,3.29484,2.47847,2.33351,0,0.17521,0.15111,0.05426,0.01434,0.16679,0.19778,0.07659,0.02256,2.70119,3.62621,2.91848,2.76408,0,0.00112342,0.00112342,0.00112342
110,268.335,2.37494,3.28173,2.38756,2.3837,0,0.1549,0.18778,0.05929,0.01569,0.17455,0.19778,0.08845,0.02511,2.67141,3.58333,2.86716,2.70442,0,0.00112059,0.00112059,0.00112059
111,271.675,2.42541,3.41242,2.41464,2.35305,0,0.1549,0.18778,0.05929,0.01569,0.17455,0.19778,0.08845,0.02511,2.67141,3.58333,2.86716,2.70442,0,0.00111776,0.00111776,0.00111776
112,275.381,2.43184,3.25907,2.39332,2.34163,0,0.08025,0.33556,0.06579,0.01716,0.09651,0.34222,0.07424,0.02269,2.65016,3.56282,2.83285,2.66499,0,0.00111493,0.00111493,0.00111493
113,278.954,2.53133,3.23731,2.51312,2.46785,0,0.08025,0.33556,0.06579,0.01716,0.09651,0.34222,0.07424,0.02269,2.65016,3.56282,2.83285,2.66499,0,0.0011121,0.0011121,0.0011121
114,282.357,2.44212,3.32495,2.45883,2.37414,0,0.16679,0.30222,0.07639,0.022,0.18863,0.25333,0.08287,0.02971,2.65472,3.53131,2.81437,2.66066,0,0.00110928,0.00110928,0.00110928
115,285.606,2.36804,3.28508,2.26606,2.30649,0,0.16679,0.30222,0.07639,0.022,0.18863,0.25333,0.08287,0.02971,2.65472,3.53131,2.81437,2.66066,0,0.00110645,0.00110645,0.00110645
116,288.988,2.44256,3.32762,2.24608,2.2904,0,0.19864,0.23333,0.0727,0.02356,0.20815,0.23667,0.07506,0.02995,2.58978,3.47951,2.8671,2.64312,0,0.00110362,0.00110362,0.00110362
117,292.423,2.43992,3.34983,2.33229,2.29418,0,0.19864,0.23333,0.0727,0.02356,0.20815,0.23667,0.07506,0.02995,2.58978,3.47951,2.8671,2.64312,0,0.00110079,0.00110079,0.00110079
118,295.738,2.52552,3.28081,2.43967,2.42709,0,0.17022,0.23333,0.07535,0.02643,0.15227,0.29391,0.07366,0.02944,2.54225,3.45577,2.88248,2.60583,0,0.00109796,0.00109796,0.00109796
119,299.122,2.38762,3.28627,2.28683,2.24533,0,0.17022,0.23333,0.07535,0.02643,0.15227,0.29391,0.07366,0.02944,2.54225,3.45577,2.88248,2.60583,0,0.00109513,0.00109513,0.00109513
120,302.662,2.45146,3.40572,2.56309,2.38788,0,0.11541,0.42667,0.0728,0.02635,0.10251,0.45998,0.07507,0.02863,2.52992,3.4614,2.882,2.58917,0,0.0010923,0.0010923,0.0010923
121,306.155,2.34311,3.50378,2.41435,2.27165,0,0.11541,0.42667,0.0728,0.02635,0.10251,0.45998,0.07507,0.02863,2.52992,3.4614,2.882,2.58917,0,0.00108947,0.00108947,0.00108947
122,309.716,2.38173,3.40735,2.3988,2.31992,0,0.08484,0.46667,0.07454,0.0287,0.09617,0.46,0.07684,0.03021,2.54005,3.48701,2.86064,2.57534,0,0.00108664,0.00108664,0.00108664
123,313.26,2.39532,3.26156,2.44967,2.35762,0,0.08484,0.46667,0.07454,0.0287,0.09617,0.46,0.07684,0.03021,2.54005,3.48701,2.86064,2.57534,0,0.00108381,0.00108381,0.00108381
124,316.802,2.31533,3.18637,2.24006,2.25937,0,0.09695,0.44,0.07842,0.0292,0.12959,0.37778,0.08318,0.03223,2.52686,3.47178,2.79916,2.53313,0,0.00108098,0.00108098,0.00108098
125,320.069,2.34208,3.25771,2.46934,2.31767,0,0.09695,0.44,0.07842,0.0292,0.12959,0.37778,0.08318,0.03223,2.52686,3.47178,2.79916,2.53313,0,0.00107815,0.00107815,0.00107815
126,323.536,2.30817,3.38734,2.35098,2.26015,0,0.07871,0.45333,0.06707,0.02585,0.09956,0.42062,0.07791,0.0279,2.50322,3.44485,2.79601,2.50169,0,0.00107532,0.00107532,0.00107532
127,326.897,2.37111,3.26848,2.38748,2.30534,0,0.07871,0.45333,0.06707,0.02585,0.09956,0.42062,0.07791,0.0279,2.50322,3.44485,2.79601,2.50169,0,0.00107249,0.00107249,0.00107249
128,330.238,2.33605,3.26442,2.39208,2.24201,0,0.07632,0.53556,0.09068,0.03721,0.11976,0.42667,0.10186,0.03982,2.47426,3.38509,2.80496,2.48031,0,0.00106966,0.00106966,0.00106966
129,333.507,2.29554,3.18782,2.395,2.25215,0,0.07632,0.53556,0.09068,0.03721,0.11976,0.42667,0.10186,0.03982,2.47426,3.38509,2.80496,2.48031,0,0.00106683,0.00106683,0.00106683
130,336.98,2.303,3.1882,2.44504,2.29536,0,0.77656,0.05556,0.15082,0.06275,0.77656,0.05556,0.15088,0.07187,2.47137,3.32838,2.77587,2.47574,0,0.001064,0.001064,0.001064
131,340.38,2.39455,3.26796,2.43205,2.27928,0,0.77656,0.05556,0.15082,0.06275,0.77656,0.05556,0.15088,0.07187,2.47137,3.32838,2.77587,2.47574,0,0.00106118,0.00106118,0.00106118
